date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:40:31	651063/651063	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2019:08:38%20GMT	https://stratetab.com/img/portfolio/286477611_753126896126550_6860977548268831602_n.jpg	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/portfolio/286477611_753126896126550_6860977548268831602_n.jpg	(from https://stratetab.com/)
18:40:31	7906811/7906811	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2019:04:15%20GMT	https://stratetab.com/img/heavy-excavator-digging-day-light.jpg	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/heavy-excavator-digging-day-light.jpg	(from https://stratetab.com/)
18:40:31	490656/490656	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2019:05:42%20GMT	https://stratetab.com/img/portfolio/286850139_762781968048466_1723154256560762529_n.jpg	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/portfolio/286850139_762781968048466_1723154256560762529_n.jpg	(from https://stratetab.com/)
18:40:32	816537/816537	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2019:07:42%20GMT	https://stratetab.com/img/portfolio/286905741_325396526428080_4602665577027658028_n.jpg	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/portfolio/286905741_325396526428080_4602665577027658028_n.jpg	(from https://stratetab.com/)
18:40:32	604281/604281	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2019:07:23%20GMT	https://stratetab.com/img/portfolio/287011543_118407627546798_1377556103821582555_n.jpg	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/portfolio/287011543_118407627546798_1377556103821582555_n.jpg	(from https://stratetab.com/)
18:40:32	42490902/42490902	---M--	200	added ('OK')	video/mp4	date:Sat,%2020%20Jul%202024%2017:48:05%20GMT	https://stratetab.com/img/bg.mp4	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/bg.mp4	(from https://stratetab.com/)
18:40:32	4252/4252	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2018:56:02%20GMT	https://stratetab.com/img/testimonial-1.jpg	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/testimonial-1.jpg	(from https://stratetab.com/)
18:40:32	5533/5533	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2018:56:03%20GMT	https://stratetab.com/img/testimonial-2.jpg	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/testimonial-2.jpg	(from https://stratetab.com/)
18:40:32	5598/5598	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2018:56:03%20GMT	https://stratetab.com/img/testimonial-3.jpg	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/testimonial-3.jpg	(from https://stratetab.com/)
18:40:33	9202/9202	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jul%202024%2019:04:39%20GMT	https://stratetab.com/img/cta/google-review.png	E:/github/Marks-Excavating/markexcavating/stratetab.com/img/cta/google-review.png	(from https://stratetab.com/)
